facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"FMCNA - EAST ARKANSAS",042528,-,"310 S RHODES","WEST MEMPHIS",AR,72301,13,18.56%,57.44%,2,98.93%,0.18%,0.273,10,57.94%,47.48%,74.02%,49.28%,42.31%,47.32%,4,1.013,0.232,3,1.079,10,3,51,0.50%
"FMCNA - EAST LAFAYETTE",192685,-,"1340 SURREY",LAFAYETTE,LA,70501,13,10.68%,62.29%,6,93.50%,0.00%,0.414,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.206,1.2,5,0.94,10,2,49,0.50%
"FMCNA - EAST LITTLE ROCK",042589,-,"5320 WEST 12TH ST","EAST LITTLE ROCK",AR,72204,13,16.40%,54.29%,2,96.20%,0.60%,0,10,60.39%,52.63%,75.65%,63.10%,36.80%,47.21%,1,1.352,1.671,4,1.001,10,2,38,1.00%
"FMCNA - EAST MINDEN",192638,-,"10000 INDUSTRIAL RD",MINDEN,LA,71055,13,13.58%,62.27%,5,97.48%,0.37%,0.554,10,61.32%,56.19%,85.77%,62.62%,50.89%,58.73%,10,0.469,0.723,9,0.72,10,2,68,0.00%
"FMCNA - EAST NATCHITOCHES DIALYSIS",192611,-,"111 MASONIC DR",NATCHITOCHES,LA,71457,13,13.01%,57.02%,4,97.88%,0.00%,0.313,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.388,1.349,10,0.457,10,6,77,0.00%
"FMCNA - EAST TULSA",372570,-,"5147 S GARNETT RD STE C",TULSA,OK,74146,13,17.40%,69.47%,5,94.87%,0.40%,0.519,10,60.61%,58.20%,74.74%,61.16%,55.64%,60.70%,2,1.161,1.299,4,1.001,10,0,40,1.00%
"FMCNA - EDMOND EAST",372581,-,"301 KATIE MICHELLE BLVD",EDMOND,OK,73034,13,21.30%,57.32%,2,99.29%,0.28%,0.448,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.679,0.154,4,1.047,10,7,72,0.00%
"FMCNA - ENID DIALYSIS CTR",372558,-,"121 W OWEN K GARRIOTT",ENID,OK,73701,13,12.78%,74.74%,7,98.01%,0.35%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.123,1.747,7,0.812,10,2,61,0.00%
"FMCNA - EUNICE",192566,-,"1101 NILE ST",EUNICE,LA,70535,13,17.27%,47.86%,1,99.43%,0.00%,0.629,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.765,0.908,10,0.475,10,8,74,0.00%
"FMCNA - FARMERVILLE",192633,-,"108 HILL ST",FARMERVILLE,LA,71241,13,11.18%,65.54%,6,97.17%,0.35%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.107,0.296,4,1.024,10,7,67,0.00%
"FMCNA - FAULKNER COUNTY",042518,-,"201 SKYLINE DR  STE 32",CONWAY,AR,72032,13,4.94%,60.96%,7,98.59%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.829,1.166,5,0.963,10,9,75,0.00%
"FMCNA - FELICIANAS DIALYSIS CTR",192652,-,"2995 RACE ST",JACKSON,LA,70748,13,3.93%,68.41%,9,99.12%,0.70%,0.662,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.459,0.597,10,0.4,10,9,86,0.00%
"FMCNA - FERRIDAY",192563,-,"2004 CARTER STREET SUITE A",VIDALIA,LA,71373,13,6.36%,71.90%,9,95.84%,0.14%,1.57,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.054,0.822,7,0.829,10,4,59,0.00%
"FMCNA - FLORIDA PARISH KIDNEY CTR",192505,-,"16081 DOCTORS BLVD - STE A",HAMMOND,LA,70403,13,2.62%,59.80%,7,96.88%,0.23%,0.277,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.084,1.008,2,1.133,10,0,53,0.50%
"FMCNA - FOSTER DR DIALYSIS SVCS",192558,-,"1919 N FOSTER DR","BATON ROUGE",LA,70806,13,2.49%,62.30%,8,96.09%,0.85%,2.236,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.266,1.774,3,1.073,10,0,36,1.00%
"FMCNA - FRANKLIN",192587,-,"1604 CYNTHIA ST",FRANKLIN,LA,70538,13,9.88%,60.78%,6,96.03%,0.00%,2.86,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.012,1.679,4,1.053,10,1,45,1.00%
"FMCNA - GONZALES",192730,-,"2326 SOUTH DARLA AVE",GONZALES,LA,70737,13,3.97%,80.41%,10,98.31%,0.19%,0.39,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.426,1.693,5,0.956,10,6,57,0.00%
"FMCNA - GREATER  BATON ROUGE HOME PROGRAM",192734,-,"5399 MANCUSO LANE","BATON ROUGE",LA,70809,13,8.42%,70.78%,8,94.41%,0.13%,"No Rate",0,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.15,0.505,6,0.902,10,"No Score",47,0.50%
"FMCNA - GRETNA",192727,-,"959 BEHRMAN HGWY",GRETNA,LA,70056,13,5.90%,55.93%,6,97.62%,0.63%,0.561,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.852,0.447,7,0.819,10,6,70,0.00%
"FMC - NA HARLAN",182565,-,"136 VILLAGE CENTER RD",HARLAN,KY,40831,9,12.65%,62.31%,5,96.33%,1.44%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,2.048,2.734,0,1.69,10,5,40,1.00%
"FMCNA - HELENA",042510,-,"108 D ANNA PL",HELENA,AR,72342,13,17.15%,59.16%,3,97.61%,0.00%,0.203,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.746,1.173,8,0.786,10,5,69,0.00%
"FMCNA - HERITAGE PARK",372553,-,"310 S. HIGHLAND AVE","MIDWEST CITY",OK,73110,13,13.50%,66.79%,5,97.75%,0.68%,0.825,10,69.33%,70.66%,87.49%,65.92%,62.23%,80.37%,7,0.835,0.275,7,0.86,10,2,66,0.00%
"FMCNA - HOMER",192663,-,"3680 HWY 79",HOMER,LA,71040,13,11.83%,61.02%,5,98.77%,0.00%,0,10,81.00%,80.69%,89.05%,73.95%,79.56%,85.74%,6,0.901,0.382,10,0.6,10,5,83,0.00%
"FMCNA - HOUMA",192552,-,"800 POINT ST",HOUMA,LA,70360,13,8.17%,67.05%,7,99.28%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.881,1.572,10,0.609,10,8,79,0.00%
"FMCNA - HOWELL PLACE",192706,-,"7707 HOWELL PL BLVD","BATON ROUGE",LA,70807,13,1.53%,68.68%,9,97.87%,0.56%,0.553,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.936,1.615,5,0.966,10,3,60,0.00%
"FMCNA - IDABEL DX",372600,-,"1104 E LINCOLN ST",IDABEL,OK,74745,13,12.35%,59.70%,5,96.05%,0.89%,0.226,10,79.12%,65.67%,81.75%,74.12%,78.68%,84.78%,9,0.698,1.08,10,0.66,10,3,74,0.00%
"FMCNA - JANE PHILLIPS",372597,-,"3500 SE STATE ST",BARTLESVILLE,OK,74006,13,19.77%,65.20%,3,97.87%,0.00%,0.77,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.922,0.971,10,0.607,10,1,64,0.00%
"FMCNA - JENNINGS",192603,-,"1906 JOHNSON ST",JENNINGS,LA,70546,13,14.32%,59.10%,4,97.48%,1.70%,0.873,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.173,2.707,7,0.818,10,2,45,1.00%
"FMC - NAK BEREA, LLC",182628,-,"509 RICHMOND ROAD N",BEREA,KY,40403,9,14.35%,69.33%,6,98.78%,1.22%,0.341,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.874,1.227,2,1.148,10,7,59,0.00%
"FMCNA - KENNER DIALYSIS",192691,-,"2717 DECATUR ST",KENNER,LA,70062,13,6.92%,75.80%,10,95.48%,0.67%,0.576,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.352,0.959,3,1.057,10,3,52,0.50%
"FMCNA - KENTWOOD",192640,-,"916 AVENUE G",KENTWOOD,LA,70444,13,4.91%,59.91%,7,97.61%,0.52%,1.336,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.898,1.006,7,0.862,10,1,60,0.00%
"FMC-NAK Radcliff, LLC",182631,-,"211 E LINCOLN TRAIL BLVD",RADCLIFF,KY,40160,9,10.02%,57.96%,5,94.27%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.484,0.716,1,1.196,10,5,48,0.50%
"FMCNA - LAKE FOREST",192722,-,"10545 LAKE FOREST BLVD","NEW ORLEANS",LA,70127,13,11.74%,63.72%,5,95.81%,0.40%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.639,2.926,1,1.197,10,2,41,1.00%
"FMC - NA LAKEVIEW DIALYSIS",142679,-,"4008 NORTH BROADWAY AVE., SUITE 1200",CHICAGO,IL,60613,10,13.24%,61.88%,4,94.90%,0.59%,0.224,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.866,0.355,5,0.955,10,1,60,0.00%
"FMCNA - LAPLACE",192737,-,"704 BELLE TERRE BLVD",LAPLACE,LA,70068,13,13.11%,63.13%,5,98.34%,0.87%,0.367,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.164,0,6,0.975,10,7,65,0.00%
"FMCNA LAURINBURG DIALYSIS CENTER",342540,-,"701 E LAUCHWOOD DRIVE",LAURINBURG,NC,28352,6,9.92%,35.58%,4,94.20%,0.37%,0.151,10,66.44%,59.29%,78.46%,53.27%,65.80%,71.71%,5,0.937,0.675,5,0.965,10,1,54,0.50%
"FMC - NALCO HOME PROGRAM",182569,-,"3284 EAGLE VIEW DRIVE - SUITE 120",Lexington,KY,40509,9,"No Rate","No Rate","No Score",91.28%,2.46%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.688,1.306,7,0.805,10,"No Score",48,0.50%
"FMCNA - LEESVILLE DIALYSIS",192659,-,"900 N FIFTH ST  STE #5",LEESVILLE,LA,71446,13,7.60%,71.40%,8,99.29%,0.14%,1.2,10,83.64%,77.34%,90.70%,85.50%,83.67%,90.38%,1,1.224,0.895,6,0.883,10,6,65,0.00%
"FMCNA - LINCOLN KIDNEY CTR",192630,-,"219 MILLS AVE",RUSTON,LA,71270,13,4.47%,63.75%,8,93.93%,0.19%,2.802,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.553,2.989,5,0.938,10,2,53,0.50%
"FMCNA - LITTLE ROCK DIALYSIS",042521,-,"10310 W MARKHAM STE 100","LITTLE ROCK",AR,72205,13,15.87%,58.32%,3,96.92%,0.59%,0.475,10,81.31%,60.93%,90.03%,76.53%,42.41%,45.32%,3,1.088,1.129,5,0.962,10,5,53,0.50%
"FMCNA - MANCUSO",192524,-,"4848 MANCUSO LN, STE A","BATON ROUGE",LA,70809,13,2.37%,76.88%,10,96.92%,0.98%,1.136,10,83.51%,70.15%,75.43%,70.87%,65.17%,78.28%,3,1.063,0.467,7,0.818,10,2,63,0.00%
"FMCNA - MANY",192686,-,"100 DEVERA DR",MANY,LA,71449,13,19.08%,62.87%,3,97.46%,0.00%,0.479,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.099,1.574,6,0.909,10,5,54,0.50%
"FMCNA - MARRERO",192521,-,"7325 WESTBANK EXPRESSWAY",Marrero,LA,70072,13,5.90%,63.84%,7,98.97%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.864,0.529,10,0.625,10,3,82,0.00%
"FMCNA - METAIRIE",192511,-,"4425 UTICA ST",METAIRIE,LA,70006,13,10.96%,71.48%,7,94.08%,0.89%,1.312,10,80.08%,66.17%,85.19%,83.87%,73.60%,76.52%,4,1.049,0.236,6,0.879,10,0,58,0.00%
"FMCNA - MINDEN DIALYSIS",192541,-,"610 FLEMING LN",MINDEN,LA,71055,13,13.23%,63.27%,5,94.87%,0.00%,0.931,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.949,0.933,4,1.004,10,0,50,0.50%
"FMCNA - MONROE",192635,-,"1501 SOUTHERN AVE",MONROE,LA,71202,13,7.10%,64.63%,7,99.14%,0.28%,0.49,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.204,0.242,6,0.879,10,5,67,0.00%
"FMCNA - MONTICELLO",042543,-,"774 JORDAN DR",MONTICELLO,AR,71655,13,14.35%,55.22%,3,99.84%,0.63%,0.828,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.761,2.682,7,0.848,10,9,64,0.00%
"FMCNA - MOREHOUSE PARISH DIALYSIS",192676,-,"530 DURHAM ST",BASTROP,LA,71220,13,9.47%,57.68%,5,94.43%,0.50%,0.163,10,52.04%,48.83%,77.35%,45.44%,37.84%,44.19%,9,0.689,0.094,7,0.807,10,3,63,0.00%
"FMCNA - MUSKOGEE",372566,-,"3371 W BROADWAY",MUSKOGEE,OK,74401,13,19.19%,69.49%,4,96.82%,0.97%,0.119,10,68.63%,61.93%,80.27%,57.29%,53.80%,64.75%,3,1.096,2.09,3,1.112,10,0,42,1.00%
"FMCNA - NATCHITOCHES DX",192525,-,"700 KEYSER AVE",NATCHITOCHES,LA,71457,13,12.32%,71.53%,7,96.90%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.889,1.705,6,0.864,10,6,66,0.00%
"FMCNA - NEW IBERIA",192522,-,"609 RUE DE BRILLE","NEW IBERIA",LA,70563,13,11.94%,61.33%,5,95.83%,0.44%,1.32,10,68.94%,54.10%,78.21%,59.38%,52.53%,55.52%,1,1.212,3.098,7,0.83,10,0,37,1.00%
"FMCNA - NEW ORLEANS EAST- FERNCREST",192516,-,"14500 HAYNE BLVD STE 100","NEW ORLEANS",LA,70128,13,22.65%,56.01%,1,95.18%,0.54%,0.62,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.784,1.605,0,1.512,10,1,29,1.50%
"FMCNA - NEW ROADS",192602,-,"107 FAIRFIELD AVE","NEW ROADS",LA,70760,13,3.04%,59.67%,7,99.67%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.8,0.168,10,0.508,10,8,90,0.00%
"FMCNA - NORTH BOSSIER",192731,-,"4251 VIKING DRIVE","BOSSIER CITY",LA,71111,13,20.98%,55.59%,2,95.47%,0.49%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.93,0.357,8,0.798,10,5,67,0.00%
"FMCNA - NORTH BOULEVARD",192632,-,"2661 NORTH BLVD","BATON ROUGE",LA,70806,13,1.83%,67.02%,8,95.45%,0.00%,1.17,10,75.32%,53.98%,75.44%,58.23%,45.17%,54.93%,9,0.7,0.963,8,0.781,10,4,60,0.00%
"FMCNA - NORTH CENTRAL OKLAHOMA CITY",372539,-,"200 NE 50TH ST","OKLAHOMA CITY",OK,73105,13,21.08%,58.60%,2,95.74%,1.18%,0.938,10,76.08%,52.75%,77.37%,66.04%,53.59%,61.36%,6,0.865,0.238,4,0.998,10,0,49,0.50%
"FMCNA - NORTHEAST LOUISIANA DIALYSIS CTR",192510,-,"711 WOOD ST STE B",MONROE,LA,71201,13,9.35%,58.41%,5,99.23%,0.00%,1.386,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.894,0.903,7,0.816,10,8,65,0.00%
"FMCNA - NORTH HARVARD",372594,-,"1515 N HARVARD STE D",TULSA,OK,74115,13,23.26%,65.77%,3,97.32%,0.00%,0.397,10,60.68%,55.44%,71.45%,44.53%,34.45%,40.17%,1,1.337,0.62,0,1.327,10,2,38,1.00%
"FMCNA - NORTH HOUMA DIALYSIS",192714,-,"144 WAR HORSE PL",HOUMA,LA,70360,13,8.92%,68.58%,7,98.86%,0.14%,1.164,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.327,2.648,6,0.892,10,4,48,0.50%
"FMCNA - NORTH LAFAYETTE",192580,-,"910 MARTIN LUTHER KING DR",LAFAYETTE,LA,70501,13,11.42%,56.55%,4,90.32%,0.00%,0.175,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.287,1.661,3,1.097,10,0,37,1.00%
"FMCNA - NORTH MONROE",192627,-,"2344 STERLINGTON RD",MONROE,LA,71203,13,8.36%,60.70%,6,91.49%,0.22%,2.119,10,68.29%,60.18%,74.70%,61.80%,48.65%,47.00%,6,0.85,0.22,6,0.885,10,4,50,0.50%
"FMCNA - NORTH SHREVEPORT DIALYSIS",192562,-,"990 AERO DR",SHREVEPORT,LA,71107,13,15.07%,50.93%,2,97.41%,0.29%,2.34,10,67.51%,62.12%,85.01%,53.74%,63.28%,71.90%,3,1.072,0.599,3,1.073,10,1,43,1.00%
"FMCNA - NORTH TULSA",372578,-,"2309 W EDISON STE A",TULSA,OK,74127,13,14.73%,70.17%,6,98.21%,0.00%,0.602,10,71.01%,69.23%,85.03%,48.48%,55.46%,51.90%,0,1.359,1.409,3,1.101,10,4,45,1.00%
"FMCNA - NORTHWEST OKLAHOMA CITY",372540,-,"3107 NW 50TH ST","OKLAHOMA CITY",OK,73112,13,19.74%,57.08%,2,97.68%,0.27%,0.44,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.981,0.317,7,0.854,10,6,66,0.00%
"FMCNA - OAK GROVE",192609,-,"711 E JEFFERSON DR","OAK GROVE",LA,71263,13,9.03%,48.04%,4,94.58%,0.18%,0.259,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.732,0.939,8,0.769,10,3,66,0.00%
"FMCNA - OCHSNER NEW ORLEANS",192531,-,"630 DECKBAR AVE","NEW ORLEANS",LA,70121,13,9.18%,54.13%,4,96.29%,0.43%,0.928,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.061,1.859,5,0.934,10,6,47,0.50%
"FMCNA - OCHSNER NORTH ARNOULT",192709,-,"3030 N ARNOULT RD, STE A",METAIRIE,LA,70002,13,12.47%,71.77%,7,94.93%,0.00%,0.944,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.046,1.621,5,1.108,10,5,56,0.00%
"FMCNA - OCHSNER-ST CHARLES",192653,-,"150 JAMES DR EAST  STE 110","SAINT ROSE",LA,70087,13,9.14%,55.91%,5,99.12%,0.00%,0.439,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.884,0.578,2,1.173,10,8,66,0.00%
"FMC - NA OF GRAYSON",182578,-,"286 STATE HIGHWAY 1947",GRAYSON,KY,41143,9,11.53%,63.65%,6,91.92%,4.61%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.248,2.705,5,1.23,10,0,47,0.50%
"FMCNA OF NORTH COBB",112738,-,"1392 BELLS FERRY ROAD",MARIETTA,GA,30066,6,12.29%,58.89%,4,96.85%,0.75%,0.43,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.223,1.13,2,1.149,10,0,49,0.50%
"FMCNA - OKLAHOMA KIDNEY CARE DX, LLC",372577,-,"13901 MCAULEY BLVD, STE 102","OKLAHOMA CITY",OK,73134,13,12.90%,75.00%,7,98.64%,0.09%,1.439,10,71.60%,68.40%,84.11%,80.54%,73.07%,78.04%,7,0.841,0.278,9,0.709,10,5,75,0.00%
"FMCNA - OPELOUSAS",192518,-,"528 E VINE ST",OPELOUSAS,LA,70570,13,13.56%,51.74%,3,97.68%,0.32%,1.676,10,76.68%,74.81%,80.29%,67.68%,78.57%,87.51%,4,1.012,2.288,4,1.05,10,0,45,1.00%
"FMCNA - OUACHITA DIALYSIS",192582,-,"102 THOMAS RD STE 306","WEST MONROE",LA,71291,13,10.39%,76.93%,8,98.37%,0.00%,0.413,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.038,0.66,4,1.048,10,5,66,0.00%
"FMC - NAPERBROOK",142765,-,"2451 SOUTH WASHINGTON",NAPERVILLE,IL,60565,10,13.32%,72.98%,7,98.45%,0.52%,0.499,10,65.18%,60.59%,76.52%,57.29%,60.30%,69.33%,10,0.627,1.164,5,0.933,10,5,65,0.00%
"FMC - NAPERVILLE NORTH DIALYSIS CENTER",142678,-,"516 W 5TH AVE.",NAPERVILLE,IL,60563,10,16.91%,67.69%,5,99.83%,0.45%,0.187,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.072,1.32,0,1.28,10,9,55,0.50%
"FMCNA - PICARDY KIDNEY CTR",192589,-,"7638 PICARDY AVE STE A","BATON ROUGE",LA,70808,13,1.79%,66.69%,8,98.83%,0.00%,0.711,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.471,0.394,9,0.714,10,8,85,0.00%
"FMCNA - PIERREMONTE Dialysis",192698,-,"2240 E BERT KOUNS INDUSTRIAL LOOP",SHREVEPORT,LA,71105,13,17.17%,54.77%,2,98.85%,0.00%,0.365,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.119,1.114,6,0.873,10,6,59,0.00%
"FMCNA - PINE BLUFF",042532,-,"2910 MARKET ST","PINE BLUFF",AR,71601,13,19.80%,40.09%,1,98.53%,0.13%,0.924,10,78.50%,59.68%,88.09%,79.93%,61.13%,66.06%,3,1.078,1.603,3,1.091,10,1,44,1.00%
"FMCNA - PINEVILLE",192577,-,"151 SANDIFER LN",PINEVILLE,LA,71360,13,17.75%,61.85%,3,97.40%,0.60%,0.549,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.238,1.981,1,1.213,10,2,37,1.00%
"FMCNA - PLAQUEMINE",192606,-,"24660 PLAZA DR",PLAQUEMINE,LA,70764,13,2.21%,75.97%,10,97.82%,0.00%,0.301,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.81,1.116,10,0.669,10,4,80,0.00%
"FMCNA - PONCA CITY",372552,-,"1208 E HARTFORD","PONCA CITY",OK,74601,13,10.39%,76.60%,8,96.32%,0.37%,0.421,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.772,1.903,5,0.984,10,5,61,0.00%
"FMCNA - PONTCHARTRAIN KIDNEY CTR",192544,-,"170 GREENBRIAR DR - STE A",COVINGTON,LA,70433,13,10.46%,82.36%,8,97.55%,0.43%,1.116,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.204,2.661,2,1.128,10,7,45,1.00%
"FMCNA - QUALITY CARE DIALYSIS-HAMMOND",192565,-,"1204 S MORRISON BLVD - STE A",HAMMOND,LA,70403,13,5.95%,62.30%,7,97.08%,1.09%,1.268,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.971,0.645,5,0.96,10,0,55,0.50%
"FMC - NARANJA",102856,-,"26585 S DIXIE HIGHWAY",HOMESTEAD,FL,33032,7,12.64%,71.27%,7,97.27%,0.00%,0.378,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.981,0.498,4,1.019,10,3,65,0.00%
"FMCNA - RICHARD MEDLOCK",372595,-,"2845 E SKELLY DR",TULSA,OK,74105,13,12.66%,73.06%,7,96.55%,0.90%,0.278,10,69.17%,57.39%,82.20%,54.24%,51.21%,57.88%,2,1.152,0.73,6,0.882,10,5,55,0.50%
"FMCNA - RICHLAND PARISH",192677,-,"230 HWY 3048",RAYVILLE,LA,71269,13,11.17%,70.10%,7,93.83%,0.91%,1.701,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.383,0.244,1,1.239,10,2,38,1.00%
"FMCNA - RUSTON",192688,-,"760 S FARMERVILLE",RUSTON,LA,71270,13,10.14%,63.85%,6,95.03%,0.96%,1.879,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.924,1.403,6,0.868,10,0,44,1.00%
"FMCNA SANDY SPRINGS",112782,-,"7840 ROSWELL RD BLDG 200 STE 210",ATLANTA,GA,30350,6,16.43%,47.50%,1,95.54%,0.57%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.821,0.477,0,1.262,10,5,55,0.50%
"FMCNA - SAPULPA DIALYSIS",372596,-,"1013 E CLEVELAND",SAPULPA,OK,74066,13,11.26%,79.26%,8,99.53%,0.31%,0.2,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.349,0.913,9,0.712,10,7,85,0.00%
"FMCNA - SE OKLAHOMA",372532,-,"810 NW 10TH  STE B","OKLAHOMA CITY",OK,73106,13,15.34%,60.74%,4,98.83%,0.62%,0.155,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.042,0.335,5,0.983,10,4,66,0.00%
"FMCNA - SHAWNEE",372533,-,"3807 N HARRISON",SHAWNEE,OK,74804,13,14.09%,67.35%,5,98.19%,1.16%,0.874,10,67.83%,64.04%,81.00%,67.67%,70.09%,77.92%,3,1.083,0.872,3,1.105,10,2,50,0.50%
"FMCNA - SHREVEPORT REGIONAL",192512,-,"1130 KINGS HWY",SHREVEPORT,LA,71104,13,13.35%,64.16%,5,95.65%,0.40%,0.18,10,63.76%,53.68%,71.09%,56.36%,44.05%,60.72%,5,0.927,0.872,5,0.971,10,1,50,0.50%
"FMCNA - SLIDELL",192693,-,"877 BROWNSWITCH RD",SLIDELL,LA,70458,13,7.90%,77.93%,9,98.67%,0.00%,0.334,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.472,1.977,0,1.296,10,7,55,0.50%
"FMCNA - SOUTH ALEXANDRIA",192614,-,"1915 BEATRICE ST",ALEXANDRIA,LA,71301,13,13.79%,62.53%,5,98.54%,0.11%,0.491,10,56.11%,50.76%,68.13%,33.00%,42.00%,46.44%,6,0.886,0.601,8,0.785,10,3,60,0.00%
"FMCNA - SOUTH BOSSIER",192699,-,"3087 STAFFORD ST","BOSSIER CITY",LA,71112,13,18.69%,60.32%,3,96.24%,0.25%,0.633,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.846,0.749,6,0.918,10,2,58,0.00%
"FMCNA - SOUTH MONROE",192712,-,"1710 SOUTHERN AVE",MONROE,LA,71202,13,7.82%,59.76%,6,95.54%,0.41%,0.915,10,60.56%,51.03%,71.78%,45.58%,31.73%,33.29%,5,0.96,0.412,7,0.831,10,1,50,0.50%
